source name	characteristics[model_id]	characteristics[Project_Identifier]	characteristics[BROAD_ID]	characteristics[CCLE_ID]	characteristics[Date]	characteristics[cell line]	characteristics[organism part]	characteristics[Site]	characteristics[Category]	characteristics[organism]	characteristics[Disease]	characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[instrument id]	comment[batch]	comment[MS control]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[MS1 scan range]	comment[MS2 scan range]	factor value[cell line]
PXD030304_101	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-15	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190115_9131_004HL_007LQ_M04_S_1.mzML	190115_9131_004HL_007LQ_M04_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M04 P03 Sample	1	not available	1	1	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_102	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-16	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190116_9131_004IH_0082C_M06_S_1.mzML	190116_9131_004IH_0082C_M06_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M06 P03 Sample	1	not available	1	2	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_103	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-15	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190115_9131_004HL_007L9_M06_S_1.mzML	190115_9131_004HL_007L9_M06_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M06 P03 Sample	1	not available	1	3	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_104	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-20	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190120_9131_004O3_0086J_M06_S_1.mzML	190120_9131_004O3_0086J_M06_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M06 P03 Sample	1	not available	1	4	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_105	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-24	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190124_9131_004O3_0089Y_M04_S_1.mzML	190124_9131_004O3_0089Y_M04_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M04 P03 Sample	1	not available	1	5	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_106	SIDM00846	SIDM00846;HeLa	ACH-001086	HELA_CERVIX	2019-01-18	NT=HeLa;AC=CVCL_0030	Uterine cervix	Uterus, cervix	Cancer cell line	homo sapiens	Human papillomavirus-related endocervical adenocarcinoma (NCIt: C27677)	1	cell line	run 1	proteomic profiling by mass spectrometry	190118_9131_004IH_00854_M04_S_1.mzML	190118_9131_004IH_00854_M04_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M04 P03 Sample	1	not available	1	6	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=HeLa;AC=CVCL_0030
PXD030304_89	SIDM00901	SIDM00901;AN3-CA	ACH-000940	AN3CA_ENDOMETRIUM	2019-06-19	NT=AN3-CA;AC=CVCL_0028	Lymph node	Lymph node	Cancer cell line	homo sapiens	Acanthosis nigricans (NCIt: C26687); Type I endometrial adenocarcinoma (NCIt: C40145)	1	cell line	run 1	proteomic profiling by mass spectrometry	190619_8258_008E7_00C71_M03_S_1.mzML	190619_8258_008E7_00C71_M03_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M03 P03 Sample	1	not available	1	1	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=AN3-CA;AC=CVCL_0028
PXD030304_90	SIDM00901	SIDM00901;AN3-CA	ACH-000940	AN3CA_ENDOMETRIUM	2019-06-06	NT=AN3-CA;AC=CVCL_0028	Lymph node	Lymph node	Cancer cell line	homo sapiens	Acanthosis nigricans (NCIt: C26687); Type I endometrial adenocarcinoma (NCIt: C40145)	1	cell line	run 1	proteomic profiling by mass spectrometry	190606_8258_008F3_00BZT_M02_S_1.mzML	190606_8258_008F3_00BZT_M02_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M02 P03 Sample	1	not available	1	2	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=AN3-CA;AC=CVCL_0028
PXD030304_91	SIDM00901	SIDM00901;AN3-CA	ACH-000940	AN3CA_ENDOMETRIUM	2019-06-13	NT=AN3-CA;AC=CVCL_0028	Lymph node	Lymph node	Cancer cell line	homo sapiens	Acanthosis nigricans (NCIt: C26687); Type I endometrial adenocarcinoma (NCIt: C40145)	1	cell line	run 1	proteomic profiling by mass spectrometry	190613_8258_008F3_00C19_M03_S_1.mzML	190613_8258_008F3_00C19_M03_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M03 P03 Sample	1	not available	1	3	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=AN3-CA;AC=CVCL_0028
PXD030304_92	SIDM00901	SIDM00901;AN3-CA	ACH-000940	AN3CA_ENDOMETRIUM	2019-06-18	NT=AN3-CA;AC=CVCL_0028	Lymph node	Lymph node	Cancer cell line	homo sapiens	Acanthosis nigricans (NCIt: C26687); Type I endometrial adenocarcinoma (NCIt: C40145)	1	cell line	run 1	proteomic profiling by mass spectrometry	190618_8258_008DB_00C6K_M05_S_1.mzML	190618_8258_008DB_00C6K_M05_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M05 P03 Sample	1	not available	1	4	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=AN3-CA;AC=CVCL_0028
PXD030304_93	SIDM00901	SIDM00901;AN3-CA	ACH-000940	AN3CA_ENDOMETRIUM	2019-06-04	NT=AN3-CA;AC=CVCL_0028	Lymph node	Lymph node	Cancer cell line	homo sapiens	Acanthosis nigricans (NCIt: C26687); Type I endometrial adenocarcinoma (NCIt: C40145)	1	cell line	run 1	proteomic profiling by mass spectrometry	190604_8258_008E7_00BY4_M02_S_1.mzML	190604_8258_008E7_00BY4_M02_S_1.mzML	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	M02 P03 Sample	1	not available	1	5	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	40 ppm	400m/z-1250m/z	100m/z-2000m/z	NT=AN3-CA;AC=CVCL_0028
