source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[pooled sample]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]
GV3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	GV3	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_GV3_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
GV4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	GV4	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_GV4_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
GV5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	GV5	1	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_GV5_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
MII3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	MII3	1	1	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_MII3_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
MII4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	MII4	1	2	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_MII4_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
MII5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	not pooled	NT=single cell;AC=PRIDE:0000897	manual picking	MII5	1	3	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_140818	1	1	140818SL_MII5_single oocyte.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
pool100_130403_immature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=primary oocyte;AC=CL:0000654	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130403	1	1	130403SL_Klun_sample1_longer_immature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=primary oocyte;AC=CL:0000654
pool100_130403_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	1	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130403	1	1	130403SL_Klun_sample2_longer_mature.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
pool100_130724_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	2	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	1	130724SL_Klun_1_oocytes-mature1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
pool100_130724_mature	NT=Homo sapiens;AC=NCBITaxon:9606	NT=ovary;AC=UBERON:0000992	NT=secondary oocyte;AC=CL:0000655	not available	not available	female	not available	not available	cell	pooled	NT=pooled;AC=PRIDE:0000902	not applicable	not applicable	100	2	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	0.5 Da	batch_130724	1	2	130724SL_Klun_1_oocytes-mature2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=secondary oocyte;AC=CL:0000655
