source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[culture medium]	characteristics[treatment]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PC3_parental_cell_A02	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A02	1	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A03	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A03	1	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A04	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A04	1	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A05	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A05	1	not pooled	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A06	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A06	1	not pooled	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A07	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A07	1	not pooled	6	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A08	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A08	1	not pooled	7	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A09	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A09	1	not pooled	8	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A11	1	not pooled	9	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PC3_parental_cell_A12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=bone tissue;AC=UBERON:0002481	NT=epithelial cell;AC=CL:0000066	NT=prostate adenocarcinoma;AC=MONDO:0005082	NT=PC-3;AC=EFO:0002074	CVCL_0035	PC-3	NT=adult;AC=EFO:0001272	62Y	male	NT=European ancestry;AC=HANCESTRO:0005	NT=Roswell Park Memorial Institute 1640 Medium;AC=NCIT:C178973	not applicable	NT=single cell;AC=PRIDE:0000897	cellenONE	CONT_A12	1	not pooled	10	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Ascend;AC=MS:1003356	NT=label free sample;AC=MS:1002038	not applicable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	not applicable	10 ppm	10 ppm	380	780	25	not available	1	1	20240514_FAIMS_60SPD_PC3_CONT_SC_A12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
