source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[carrier channel]	comment[reference channel]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cells per well]
Hela_singlecell_plate1_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_1	1	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_L4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate1_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_2	1	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_L3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate1_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_3	1	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_N4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate1_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_4	1	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_O3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate1_5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_5	1	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_M3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate1_6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate1_6	1	6	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	SCP	1	1	20251225_Hela_singlecell_plate1_M4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate6_1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate6_1	1	1	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	Mann et al.(2022)	1	1	20251231_Hela_singlecell_plate6_L4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate6_2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate6_2	1	2	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	Mann et al.(2022)	1	1	20251231_Hela_singlecell_plate6_M3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate6_3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate6_3	1	3	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	Mann et al.(2022)	1	1	20251231_Hela_singlecell_plate6_M4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
Hela_singlecell_plate6_4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American;AC=HANCESTRO:0568	NT=single cell;AC=PRIDE:0000897	FACS	Hela_singlecell_plate6_4	1	4	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	25% NCE	not available	not available	400	800	20	not applicable	not applicable	Mann et al.(2022)	1	1	20251231_Hela_singlecell_plate6_N4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	1
