source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[genotype]	characteristics[culture medium]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[genotype]
HeLa_ATG9A_KO_r1c1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r1c1	1	not applicable	1	run 1	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r1c1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r1c3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r1c3	1	not applicable	2	run 2	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r1c3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r1c5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r1c5	1	not applicable	3	run 3	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r1c5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r1c7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r1c7	1	not applicable	4	run 4	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r1c7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r1c8	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r1c8	1	not applicable	5	run 5	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r1c8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r2c3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r2c3	1	not applicable	6	run 6	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r2c4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r2c4	1	not applicable	7	run 7	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r2c5	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r2c5	1	not applicable	8	run 8	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r2c6	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r2c6	1	not applicable	9	run 9	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
HeLa_ATG9A_KO_r2c7	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=epithelial cell;AC=CL:0000066	NT=cervical adenocarcinoma;AC=MONDO:0005153	NT=HeLa;AC=EFO:0001185	CVCL_0030	HeLa	30Y6M	female	NT=African American or Afro-Caribbean ancestry;AC=HANCESTRO:0016	ATG9A knockout	NT=Dulbecco's Modified Eagle Medium;AC=NCIT:C185409	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_ATG9A_KO_r2c7	1	not applicable	10	run 10	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	20 ppm	375m/z-1575m/z	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=clinical-metadata;VV=v1.0.0	HeLa	ATG9A knockout
