source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]
HeLa_1c_120SPD_01	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_01	1	not pooled	1	HeLa_1c_120SPD_01	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_02	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_02	1	not pooled	2	HeLa_1c_120SPD_02	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_03	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_03	1	not pooled	3	HeLa_1c_120SPD_03	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_04	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_04	1	not pooled	4	HeLa_1c_120SPD_04	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_05	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_05	1	not pooled	5	HeLa_1c_120SPD_05	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_06	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_06	1	not pooled	6	HeLa_1c_120SPD_06	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_07	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_07	1	not pooled	7	HeLa_1c_120SPD_07	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_08	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_08	1	not pooled	8	HeLa_1c_120SPD_08	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_09	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_09	1	not pooled	9	HeLa_1c_120SPD_09	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
HeLa_1c_120SPD_10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=uterine cervix;AC=UBERON:0000002	NT=HeLa cell;AC=CLO:0003684	NT=cervical adenocarcinoma;AC=MONDO:0005153	female	not available	cell	NT=single cell;AC=PRIDE:0000897	cellenONE	HeLa_1c_120SPD_10	1	not pooled	10	HeLa_1c_120SPD_10	proteomic profiling by mass spectrometry	NT=Orbitrap Astral;AC=MS:1003378	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	Data-independent acquisition	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	not available	not applicable	not applicable	380	980	4	not available	1	1	20240522_AST5_Evo3_PS_240kMS1_4Th3ms_120SPDz_HeLa_1c_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	NT=HeLa cell;AC=CLO:0003684
