id	label	reason	evidence	organism	cell_type	isolation_method	scp_method	n_single_cells	labelling	carrier_channel	acquisition	instrument	has_sdrf	publication
PXD000265	exclude	pooled gametes lysed together (bulk proteomics)	paper methods	Oryza sativa	egg cell and sperm cell	manual picking	unclear	unclear	label free	no	DDA	LTQ Orbitrap XL	no	PMID:23936051
PXD000902	include	five individual Xenopus eggs each homogenized and run separately	paper methods	Xenopus laevis	fertilized egg	manual picking	unclear	5	label free	no	DDA	LTQ Orbitrap Velos	no	PMID:25056316
PXD003121	include	individual GV and MII oocytes analysed as single cells via SP3	abstract	Homo sapiens	oocyte	unclear	SP3	unclear	label free	no	DDA	LTQ Orbitrap Velos	no	PMID:27215607
PXD003691	include	single-oocyte SP3 runs deposited alongside 10/100-cell pools	abstract	Homo sapiens	oocyte	unclear	SP3	unclear	label free	no	DDA	LTQ Orbitrap Velos	no	PMID:27215607
PXD004142	include	single-oocyte raw runs present alongside bulk benchmarking	abstract	Homo sapiens	oocyte	unclear	SP3	unclear	label free	no	DDA	LTQ Orbitrap Velos	no	PMID:27215607
PXD006847	exclude	low-input but not single-cell (10-140 cells per nanowell)	paper methods	Homo sapiens	HeLa MCF-7 THP-1 pancreatic islet	nanoPOTS	nanoPOTS	unclear	label free	no	DDA	Orbitrap Fusion Lumos	no	PMID:29491378
PXD006905	include	in situ capillary microsampling of single identified blastomeres in live embryos	abstract	Xenopus laevis and Danio rerio	blastomere	microsampling capillary aspiration	microprobe CE-MS	unclear	label free	no	DDA	Q Exactive Plus	no	PMID:30827088
PXD008844	exclude	laser microdissected tissue voxels (50-200 um), not single cells	PRIDE protocol	Mus musculus	brain tissue	laser capture	nanoPOTS	unclear	label free	no	DDA	Orbitrap Fusion Lumos	no	PMID:29941660
PXD010806	exclude	low-input tissue regions (<200 cells), no single-cell condition	PRIDE protocol	Solanum lycopersicum	fruit pericarp	laser capture	nanoPOTS	unclear	label free	no	DDA	LTQ Orbitrap	no	PMID:30118597
PXD012101	exclude	sets of 10-800 pooled LCM neurons, no single-cell condition	paper methods	Homo sapiens	Purkinje cell and Betz cell	laser capture	unclear	unclear	label free	no	DDA	Orbitrap Fusion Lumos	no	PMID:30768908
PXD014256	include	FACS single-cell sorting into nanoPOTS nanowells, 30 single cells	paper methods	Gallus gallus	utricle hair cell and supporting cell	FACS	nanoPOTS	30	label free	no	DDA	Orbitrap Fusion Lumos	no	PMID:31682227
PXD015058	exclude	LCM of glomeruli and proximal tubules (near-single-cell), not single cells	PRIDE protocol	Homo sapiens	kidney glomerulus and proximal tubule	laser capture	nanoPOTS	unclear	label free	no	DDA	Q Exactive	no	PMID:33072769
PXD016573	exclude	dilution mimics only, TMT bulk digests mixed to mimic SCoPE-MS	PRIDE protocol	Homo sapiens	HeLa and K562	none	SCoPE-MS mimic	unclear	TMT	yes	DDA	Orbitrap Fusion Lumos	no	PMID:33288958
PXD016921	include	nanoPOTS single HeLa cells with per-cell raw files deposited	abstract	Homo sapiens	HeLa	nanoPOTS	nanoPOTS	4	label free	no	DDA	Orbitrap Eclipse	no	PMID:31913019
PXD019515	include	nanoPOTS single HeLa and LCM single neurons, one run per cell	PRIDE protocol	Homo sapiens	HeLa; motor neuron; interneuron	nanoPOTS; laser capture	nanoPOTS	9	label free	no	DDA	Orbitrap Eclipse	no	unclear
PXD019777	exclude	bulk proteomics	PRIDE protocol	Homo sapiens; Escherichia coli	HeLa	unclear	unclear	unclear	label free	no	both	Q Exactive	no	PMID:34373457
PXD020586	include	FACS single-cell sorting with TMTpro and 500-cell booster	paper methods	Homo sapiens	OCI-AML8227	FACS	scMS	unclear	TMTpro	yes	DDA	Orbitrap Exploris 480; Orbitrap Fusion	no	PMID:34099695
PXD021425	exclude	bulk proteomics	PRIDE protocol	Homo sapiens; Escherichia coli	HeLa	unclear	unclear	unclear	label free	no	DDA	timsTOF Pro	no	PMID:34373457
PXD021882	include	autoPOTS single-cell condition present alongside low-input benchmarking	PRIDE protocol	Homo sapiens	HeLa; B cell; T cell	limiting dilution; FACS	autoPOTS	3	label free	no	DDA	Orbitrap Exploris 480	no	unclear
PXD022791	include	nanoPOTS single HeLa and LCM single neurons deposited as per-cell runs	PRIDE protocol	Homo sapiens	HeLa; motor neuron; interneuron	nanoPOTS; laser capture	nanoPOTS	9	label free	no	DDA	Orbitrap Eclipse	no	unclear
