source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[disease]	characteristics[growth condition]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[growth condition]
glucose_replicate1	Escherichia coli	K-12 MG1655	not applicable	normal	glucose	1	glucose_replicate1_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glucose_rep1.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glucose
glucose_replicate2	Escherichia coli	K-12 MG1655	not applicable	normal	glucose	2	glucose_replicate2_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glucose_rep2.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glucose
glucose_replicate3	Escherichia coli	K-12 MG1655	not applicable	normal	glucose	3	glucose_replicate3_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glucose_rep3.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glucose
acetate_replicate1	Escherichia coli	K-12 MG1655	not applicable	normal	acetate	1	acetate_replicate1_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	acetate_rep1.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	acetate
acetate_replicate2	Escherichia coli	K-12 MG1655	not applicable	normal	acetate	2	acetate_replicate2_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	acetate_rep2.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	acetate
acetate_replicate3	Escherichia coli	K-12 MG1655	not applicable	normal	acetate	3	acetate_replicate3_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	acetate_rep3.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	acetate
glycerol_replicate1	Escherichia coli	K-12 MG1655	not applicable	normal	glycerol	1	glycerol_replicate1_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glycerol_rep1.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glycerol
glycerol_replicate2	Escherichia coli	K-12 MG1655	not applicable	normal	glycerol	2	glycerol_replicate2_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glycerol_rep2.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glycerol
glycerol_replicate3	Escherichia coli	K-12 MG1655	not applicable	normal	glycerol	3	glycerol_replicate3_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	glycerol_rep3.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	glycerol
lb_replicate1	Escherichia coli	K-12 MG1655	not applicable	normal	lb	1	lb_replicate1_run1	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-Dependent Acquisition	Data-Dependent Acquisition	HCD	10 ppm	0.02 Da	1	1	lb_rep1.raw	v0.0.2	NT=ms-proteomics;VV=v0.0.2	lb
